Type,Series Description
localizer_32ch_uncombined,localizer_32ch_uncombined
localizer_32ch_uncombined,localizer_32ch_uncombined
SCOUT,AAHScout
SCOUT,AAHScout_MPR_sag
SCOUT,AAHScout_MPR_cor
SCOUT,AAHScout_MPR_tra
rfMRI_REST_AP_SBRef,rfMRI_REST_AP_SBRef
BOLD,rfMRI_REST_AP
tfMRI_EMOTION_PA_SBRef,tfMRI_EMOTION_PA_SBRef
BOLD,tfMRI_EMOTION_PA
SpinEchoFieldMap_AP,SpinEchoFieldMap_AP
SpinEchoFieldMap_PA,SpinEchoFieldMap_PA
tfl_b1map_STAR,tfl_b1map_STAR
tfl_b1map_STAR,tfl_b1map_STAR
RF_Sens_head,RF_Sens_head
RF_Sens_body,RF_Sens_body
T1w_setter,T1w_setter
T1w_setter,T1w_setter
ABCD_T1w_MPR_vNav,ABCD_T1w_MPR_vNav
ABCD_T1w_MPR_vNav,ABCD_T1w_MPR_vNav
T2w_setter,T2w_setter
T2w_setter,T2w_setter
ABCD_T2w_SPC_vNav,ABCD_T2w_SPC_vNav
ABCD_T2w_SPC_vNav,ABCD_T2w_SPC_vNav
T1_vNav_setter,T1_vNav_setter
T1_vNav_setter,T1_vNav_setter
T1_MEMPRAGE_GSP_vNavTrk,T1_MEMPRAGE_GSP_vNavTrk
T1_MEMPRAGE_GSP_vNavTrk,T1_MEMPRAGE_GSP_vNavTrk
T1_MEMPRAGE_GSP_vNavTrk RMS,T1_MEMPRAGE_GSP_vNavTrk RMS
T1_MEMPRAGE_GSP_vNavTrk RMS,T1_MEMPRAGE_GSP_vNavTrk RMS
T2_vNav_setter,T2_vNav_setter
T2_vNav_setter,T2_vNav_setter
T2_SPACE_GSP_vNavTrk,T2_SPACE_GSP_vNavTrk
T2_SPACE_GSP_vNavTrk,T2_SPACE_GSP_vNavTrk
tfMRI_GUESSING_PA_SBRef,tfMRI_GUESSING_PA_SBRef
BOLD,tfMRI_GUESSING_PA
tfMRI_GUESSING_AP_SBRef,tfMRI_GUESSING_AP_SBRef
BOLD,tfMRI_GUESSING_AP
SpinEchoFieldMap_AP,SpinEchoFieldMap_AP
SpinEchoFieldMap_PA,SpinEchoFieldMap_PA
tfMRI_CARIT_PA_SBRef,tfMRI_CARIT_PA_SBRef
BOLD,tfMRI_CARIT_PA
tfMRI_CARIT_AP_SBRef,tfMRI_CARIT_AP_SBRef
BOLD,tfMRI_CARIT_AP
SpinEchoFieldMap_AP,SpinEchoFieldMap_AP
SpinEchoFieldMap_PA,SpinEchoFieldMap_PA
tfMRI_WM_PA_SBRef,tfMRI_WM_PA_SBRef
BOLD,tfMRI_WM_PA
rfMRI_REST_PA_SBRef,rfMRI_REST_PA_SBRef
BOLD,rfMRI_REST_PA
SpinEchoFieldMap_AP,SpinEchoFieldMap_AP
SpinEchoFieldMap_PA,SpinEchoFieldMap_PA
Diffusion SMS SBRef,dMRI_2mm_S3_ABCD102_AP_SBRef
DIFFUSION,dMRI_2mm_S3_ABCD102_AP
Diffusion SMS SBRef,dMRI_2mm_S3_b0_PA_SBRef
Diffusion b0 PA,dMRI_2mm_S3_b0_PA
T1_vNav_setter,T1_vNav_setter
T1_vNav_setter,T1_vNav_setter
T1_MEMPRAGE_GSP_vNavTrk,T1_MEMPRAGE_GSP_vNavTrk
T1_MEMPRAGE_GSP_vNavTrk,T1_MEMPRAGE_GSP_vNavTrk
T1_MEMPRAGE_GSP_vNavTrk RMS,T1_MEMPRAGE_GSP_vNavTrk RMS
T1_MEMPRAGE_GSP_vNavTrk RMS,T1_MEMPRAGE_GSP_vNavTrk RMS
T2_vNav_setter,T2_vNav_setter
T2_vNav_setter,T2_vNav_setter
T2_SPACE_GSP_vNavTrk,T2_SPACE_GSP_vNavTrk
T2_SPACE_GSP_vNavTrk,T2_SPACE_GSP_vNavTrk
PhoenixZIPReport,PhoenixZIPReport
Localizer_aligned,Localizer_aligned
T1w_MPR_vNav_4e,T1w_MPR_vNav_4e
T1w_MPR_vNav_4e RMS,T1w_MPR_vNav_4e RMS
T2w_SPC_vNav,T2w_SPC_vNav
Custom,<MPR Collection>
BOLD,rfMRI_REST_PA_RR
BOLD,rfMRI_REST_AP_RR
rfMRI_REST_PA_SBRef,rfMRI_REST_PA_RR_SBRef
rfMRI_REST_AP_SBRef,rfMRI_REST_AP_RR_SBRef
BOLD,tfMRI_GUESSING_AP_RR
tfMRI_EMOTION_PA_PhysioLog,tfMRI_EMOTION_PA_PhysioLog
tfMRI_GUESSING_AP_SBRef,tfMRI_GUESSING_AP_RR_SBRef
rfMRI_REST_AP_PhysioLog,rfMRI_REST_AP_PhysioLog
rfMRI_REST_PA_PhysioLog,rfMRI_REST_PA_PhysioLog
tfMRI_GUESSING_PA_PhysioLog,tfMRI_GUESSING_PA_PhysioLog
tfMRI_GUESSING_AP_PhysioLog,tfMRI_GUESSING_AP_PhysioLog
tfMRI_CARIT_PA_PhysioLog,tfMRI_CARIT_PA_PhysioLog
tfMRI_CARIT_AP_PhysioLog,tfMRI_CARIT_AP_PhysioLog
tfMRI_WM_PA_PhysioLog,tfMRI_WM_PA_PhysioLog
